d,c_d
2.00000000000000,2.00000000000000
4.00000000000000,6.00000000000000
16.0000000000000,30.0000000000000
96.0000000000000,210.000000000000
960.000000000000,2310.00000000000
11520.0000000000,30030.0000000000
184320.000000000,510509.999999999
3.31776000000000e6,9.69969000000000e6
7.29907200000000e7,2.23092870000000e8
2.04374016000000e9,6.46969322999999e9
6.13122047999998e10,2.00560490129999e11
2.20723937279999e12,7.42073813480997e12
8.82895749120001e13,3.04250263527210e14
3.70816214630401e15,1.30827613316701e16
1.70575458729985e17,6.14889782588494e17
8.86992385395917e18,3.25891584771901e19
5.14455583529630e20,1.92276035015420e21
3.08673350117779e22,1.17288381359407e23
2.03724411077734e24,7.85832155108028e24
1.42607087754414e26,5.57940830126699e26
1.02677103183177e28,4.07296805992488e28
8.00881404828789e29,3.21764476734067e30
6.56722751959605e31,2.67064515689275e32
5.77916021724452e33,2.37687418963455e34
5.54799380855478e35,2.30556796394553e36
5.54799380855475e37,2.32862364358497e38
5.65895368472586e39,2.39848235289253e40
5.99849090580940e41,2.56637611759499e42
6.47837017827412e43,2.79734996817853e44
7.25577459966704e45,3.16100546404175e46
9.14227599558052e47,4.01447693933305e48
1.18849587942546e50,5.25896479052628e50
1.61635439601862e52,7.20478176302096e52
2.23056906650571e54,1.00146466505992e55
3.30124221842843e56,1.49218235093927e57
4.95186332764266e58,2.25319534991831e59
7.72490679112251e60,3.53751669937172e61
1.25143490016187e63,5.76615221997602e63
2.07738193426871e65,9.62947420735996e65
3.57309692694227e67,1.66589903787331e68
6.36011252995730e69,2.98195927779326e70
1.14482025539230e72,5.39734629280574e72
2.17515848524537e74,1.03089314192590e75
4.17630429167114e76,1.98962376391700e77
8.18555641167539e78,3.91955881491646e79
1.62074016951171e81,7.79992204168368e81
3.40355435597459e83,1.64578355079525e84
7.55589067026359e85,3.67009731827341e86
1.70763129147958e88,8.33112091248070e88
3.89339934457349e90,1.90782668895810e91
9.03268647941042e92,4.44523618527233e93
2.14977938209971e95,1.06241144828010e96
5.15947051703927e97,2.56041159035503e98
